,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
2,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
4,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
6,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
7,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
8,8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
9,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
10,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
12,12,348.25,112.625,386.25,141.5,0.407958984375,367.25,127.0625,257.50455729166663,255.22314453125,179,91,109,107
13,13,349.75,112.0,384.25,140.75,0.4560546875,367.0,126.375,257.4117031695157,254.7451171875,179,109,119,124
14,14,352.25,110.125,385.25,139.125,0.60693359375,368.75,124.625,258.0616820245726,253.5283203125,172,108,112,122
15,15,353.5,110.8125,386.0,137.75,0.5517578125,369.75,124.28125,258.4330985131766,253.289306640625,173,112,116,124
16,16,355.0,110.5,387.0,137.0,0.54443359375,371.0,123.75,258.89736912393164,252.919921875,173,112,113,123
17,17,355.5,109.25,388.5,137.625,0.6396484375,372.0,123.4375,259.26878561253557,252.70263671875,170,113,115,127
18,18,356.75,107.25,390.25,135.625,0.54248046875,373.5,121.4375,259.8259103454416,251.31201171875,171,116,116,126
19,19,354.0,109.0,389.0,138.625,0.55419921875,371.5,123.8125,259.0830773682336,252.96337890625,170,111,114,125
20,20,353.0,109.25,388.0,139.0,0.56396484375,370.5,124.125,258.7116608796296,253.1806640625,173,109,115,126
21,21,354.25,108.1875,388.75,138.0,0.5859375,371.5,123.09375,259.0830773682336,252.463623046875,170,113,116,124
22,22,355.0,107.75,389.0,137.0,0.591796875,372.0,122.375,259.26878561253557,251.9638671875,171,107,115,122
23,23,359.25,106.625,390.25,135.625,0.51123046875,374.75,121.125,260.2901809561966,251.0947265625,169,115,118,126
24,24,359.5,106.875,390.0,135.625,0.55615234375,374.75,121.25,260.2901809561966,251.181640625,171,112,118,126
25,25,359.75,106.3125,390.75,135.25,0.55517578125,375.25,120.78125,260.4758892004985,250.855712890625,171,112,115,123
26,26,359.0,106.4375,389.5,135.125,0.5966796875,374.25,120.78125,260.1044727118946,250.855712890625,172,113,116,124
27,27,359.5,106.75,390.0,135.0,0.57958984375,374.75,120.875,260.2901809561966,250.9208984375,174,113,116,124
28,28,358.5,105.3125,390.0,135.25,0.556640625,374.25,120.28125,260.1044727118946,250.508056640625,173,111,114,122
29,29,356.0,104.625,391.0,137.0,0.55908203125,373.5,120.8125,259.8259103454416,250.87744140625,171,112,115,126
30,30,357.0,104.8125,390.0,136.25,0.5751953125,373.5,120.53125,259.8259103454416,250.681884765625,173,108,115,123
31,31,359.25,105.875,387.75,134.25,0.6064453125,373.5,120.0625,259.8259103454416,250.35595703125,173,111,118,126
32,32,359.0,105.8125,386.5,134.0,0.62353515625,372.75,119.90625,259.54734797898857,250.247314453125,173,113,116,124
33,33,358.5,104.9375,387.5,134.375,0.642578125,373.0,119.65625,259.64020210113955,250.073486328125,172,114,117,125
34,34,358.5,105.25,387.5,134.0,0.66162109375,373.0,119.625,259.64020210113955,250.0517578125,172,113,114,124
35,35,359.25,103.75,388.75,133.75,0.6591796875,374.0,118.75,260.01161858974353,249.443359375,173,113,114,124
36,36,356.5,103.6875,387.0,133.875,0.6552734375,371.75,118.78125,259.1759314903846,249.465087890625,173,117,116,126
37,37,358.5,102.75,388.0,133.0,0.6611328125,373.25,117.875,259.7330562232906,248.8349609375,175,115,118,126
38,38,358.0,102.0,390.0,132.375,0.67578125,374.0,117.1875,260.01161858974353,248.35693359375,171,114,115,125
39,39,359.25,101.9375,389.25,132.625,0.69287109375,374.25,117.28125,260.1044727118946,248.422119140625,175,114,119,127
40,40,359.75,101.1875,388.75,132.75,0.70361328125,374.25,116.96875,260.1044727118946,248.204833984375,173,117,120,128
41,41,358.5,100.125,389.5,133.25,0.70703125,374.0,116.6875,260.01161858974353,248.00927734375,173,121,122,132
42,42,358.0,99.875,390.0,133.625,0.720703125,374.0,116.75,260.01161858974353,248.052734375,174,117,117,128
43,43,358.0,99.75,390.0,133.5,0.71533203125,374.0,116.625,260.01161858974353,247.9658203125,175,110,117,125
44,44,357.75,99.125,390.25,133.875,0.7099609375,374.0,116.5,260.01161858974353,247.87890625,176,116,119,127
45,45,358.0,99.125,390.0,133.625,0.70556640625,374.0,116.375,260.01161858974353,247.7919921875,174,115,116,126
46,46,356.75,97.8125,390.25,136.0,0.70947265625,373.5,116.90625,259.8259103454416,248.161376953125,173,114,113,123
47,47,356.75,95.25,390.75,136.5,0.7509765625,373.75,115.875,259.91876446759255,247.4443359375,176,110,117,125
48,48,358.25,95.625,391.25,135.875,0.765625,374.75,115.75,260.2901809561966,247.357421875,174,112,113,123
49,49,359.5,96.375,391.0,134.375,0.77880859375,375.25,115.375,260.4758892004985,247.0966796875,174,118,121,129
50,50,358.25,95.125,390.75,134.375,0.7734375,374.5,114.75,260.19732683404555,246.662109375,174,117,116,126
51,51,357.5,95.375,390.5,133.375,0.76025390625,374.0,114.375,260.01161858974353,246.4013671875,174,114,115,125
52,52,356.25,96.0,390.25,131.75,0.76318359375,373.25,113.875,259.7330562232906,246.0537109375,175,113,114,124
53,53,356.5,94.875,391.0,131.375,0.77685546875,373.75,113.125,259.91876446759255,245.5322265625,174,114,117,125
54,54,356.75,95.75,390.25,131.0,0.77880859375,373.5,113.375,259.8259103454416,245.7060546875,175,114,117,128
55,55,357.5,96.5,390.0,130.625,0.77685546875,373.75,113.5625,259.91876446759255,245.83642578125,171,115,118,126
56,56,358.25,99.5,391.25,130.5,0.7734375,374.75,115.0,260.2901809561966,246.8359375,174,112,113,123
57,57,358.5,96.75,390.0,130.0,0.75341796875,374.25,113.375,260.1044727118946,245.7060546875,172,112,113,123
58,58,358.0,95.125,391.0,129.25,0.703125,374.5,112.1875,260.19732683404555,244.88037109375,175,114,115,125
59,59,357.25,94.0,390.75,129.125,0.57568359375,374.0,111.5625,260.01161858974353,244.44580078125,173,116,117,127
60,60,356.5,94.5,390.5,129.375,0.43212890625,373.5,111.9375,259.8259103454416,244.70654296875,173,115,116,126
61,61,357.0,95.25,390.5,128.75,0.5087890625,373.75,112.0,259.91876446759255,244.75,174,111,114,125
62,62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
63,63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
64,64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
65,65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
66,66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
67,67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
68,68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
69,69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
70,70,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
71,71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
72,72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
73,73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
74,74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
75,75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
76,76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
77,77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
78,78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
79,79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
80,80,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
81,81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
82,82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
83,83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
84,84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
85,85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
86,86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
87,87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
88,88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
89,89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
90,90,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
91,91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
92,92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
93,93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
94,94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
95,95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
96,96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
97,97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
98,98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
99,99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
101,101,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
102,102,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
103,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
104,104,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
105,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
106,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
107,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
108,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
109,109,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
110,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
111,111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
112,112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
113,113,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
114,114,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
115,115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
116,116,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
117,117,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
118,118,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
119,119,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
120,120,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
121,121,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
122,122,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
123,123,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
124,124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
125,125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
126,126,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
127,127,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
128,128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
129,129,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
130,130,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
131,131,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
132,132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
133,133,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
134,134,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
135,135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
136,136,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
137,137,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
138,138,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
139,139,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
140,140,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
141,141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
142,142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
143,143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
144,144,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
145,145,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
146,146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
147,147,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
148,148,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
149,149,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
150,150,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
151,151,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
152,152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
153,153,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
154,154,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
155,155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
156,156,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
157,157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
158,158,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
159,159,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
160,160,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
161,161,345.25,117.4375,377.25,142.0,0.400634765625,361.25,129.71875,255.27605836004273,257.070068359375,183,109,112,125
